EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 27-12-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 FG   : daily Wind speed in 0.1 m/s
23-27 Q_FG : quality code for FG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GERMANY, STUTTGART/ECHTERDINGEN (STAID: 2763).
Blended and updated with sources: 115709 910738 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   FG, Q_FG
115709,19531123,   28,    0
115709,19531124,   35,    0
115709,19531125,   26,    0
115709,19531126,   19,    0
115709,19531127,   13,    0
115709,19531128,   18,    0
115709,19531129,   39,    0
115709,19531130,   41,    0
115709,19531201,   31,    0
115709,19531202,    8,    0
115709,19531203,   11,    0
115709,19531204,   15,    0
115709,19531205,    9,    0
115709,19531206,    7,    0
115709,19531207,   17,    0
115709,19531208,    8,    0
115709,19531209,    9,    0
115709,19531210,    6,    0
115709,19531211,   15,    0
115709,19531212,   22,    0
115709,19531213,   25,    0
115709,19531214,   11,    0
115709,19531215,   17,    0
115709,19531216,   21,    0
115709,19531217,   14,    0
115709,19531218,    9,    0
115709,19531219,   14,    0
115709,19531220,   20,    0
115709,19531221,   20,    0
115709,19531222,    9,    0
115709,19531223,   23,    0
115709,19531224,   18,    0
115709,19531225,   35,    0
115709,19531226,   43,    0
115709,19531227,   68,    0
115709,19531228,   52,    0
115709,19531229,   42,    0
115709,19531230,   36,    0
115709,19531231,   42,    0
115709,19540101,   38,    0
115709,19540102,   30,    0
115709,19540103,   42,    0
115709,19540104,   23,    0
115709,19540105,   38,    0
115709,19540106,   12,    0
115709,19540107,   31,    0
115709,19540108,   22,    0
115709,19540109,   56,    0
115709,19540110,   72,    0
115709,19540111,   98,    0
115709,19540112,   63,    0
115709,19540113,   55,    0
115709,19540114,   71,    0
115709,19540115,   88,    0
115709,19540116,   84,    0
115709,19540117,   74,    0
115709,19540118,   44,    0
115709,19540119,   28,    0
115709,19540120,  117,    0
115709,19540121,   75,    0
115709,19540122,   27,    0
115709,19540123,   53,    0
115709,19540124,   49,    0
115709,19540125,   24,    0
115709,19540126,   52,    0
115709,19540127,   71,    0
115709,19540128,   19,    0
115709,19540129,   29,    0
115709,19540130,   46,    0
115709,19540131,   50,    0
115709,19540201,   36,    0
115709,19540202,   45,    0
115709,19540203,   48,    0
115709,19540204,   41,    0
115709,19540205,   41,    0
115709,19540206,    8,    0
115709,19540207,   10,    0
115709,19540208,   47,    0
115709,19540209,   22,    0
115709,19540210,   27,    0
115709,19540211,   17,    0
115709,19540212,   12,    0
115709,19540213,   33,    0
115709,19540214,   25,    0
115709,19540215,   14,    0
115709,19540216,   29,    0
115709,19540217,   30,    0
115709,19540218,   22,    0
115709,19540219,   41,    0
115709,19540220,   21,    0
115709,19540221,   11,    0
115709,19540222,    8,    0
115709,19540223,   25,    0
115709,19540224,   15,    0
115709,19540225,   65,    0
115709,19540226,   83,    0
115709,19540227,   56,    0
115709,19540228,   61,    0
115709,19540301,   50,    0
115709,19540302,   44,    0
115709,19540303,   56,    0
115709,19540304,   66,    0
115709,19540305,   31,    0
115709,19540306,   46,    0
115709,19540307,   36,    0
115709,19540308,   23,    0
115709,19540309,   14,    0
115709,19540310,   16,    0
115709,19540311,   20,    0
115709,19540312,   19,    0
115709,19540313,   36,    0
115709,19540314,   34,    0
115709,19540315,   19,    0
